,Station,Latitude,Longitude
419,Franklin St & Jackson Blvd,41.877707956,-87.635321141
420,Clark St & Leland Ave,41.967096000000005,-87.667429
421,Western Ave & Winnebago Ave,41.91552,-87.687022
422,Greenview Ave & Fullerton Ave,41.925329999999995,-87.6658
423,Lake Park Ave & 53rd St,41.799494294,-87.586449896
424,Cornell Ave & Hyde Park Blvd,41.802406,-87.586924
425,Southport Ave & Clybourn Ave,41.920771,-87.663712
426,Albany Ave & Belmont Ave,41.939638,-87.705263
427,Halsted St & Archer Ave,41.847203,-87.646795
428,Paulina St & Montrose Ave,41.961507,-87.671387
429,Logan Blvd & Elston Ave,41.929465,-87.684158
430,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043
431,Indiana Ave & 31st St,41.838842,-87.62185699999999
432,Greenwood Ave & 47th St,41.809835,-87.59938299999999
433,Blackstone Ave & Hyde Park Blvd,41.802562,-87.59036800000001
434,Kedzie Ave & 45th St,41.8113904,-87.7040052
435,Elmwood Ave & Austin St,42.025784,-87.684107
436,Larrabee St & North Ave,41.91021,-87.6435
437,Wentworth Ave & Cermak Rd,41.853084556999995,-87.631931305
438,Clarendon Ave & Junior Ter,41.961003999999996,-87.649603
439,Pulaski Rd & 21st St,41.853452000000004,-87.724541
440,Keystone Ave & Fullerton Ave,41.92459,-87.72785
441,Valli Produce - Evanston Plaza,42.039742,-87.699413
442,Throop St & Taylor St,41.868968,-87.659141
443,Cottage Grove Ave & 83rd St,41.743441,-87.60483599999999
444,Virginia Ave & Catalpa Ave,41.9812456,-87.7048924
445,Western Ave & Granville Ave,41.994161369000004,-87.68943828200001
446,State St & 33rd St,41.834734000000005,-87.625813
447,Cottage Grove Ave & 63rd St,41.780600945,-87.605836093
448,St Louis Ave & Norman Bobbins Ave,41.794422,-87.71137
449,Cottage Grove Ave & 71st St,41.765719037,-87.60495971299999
450,Seeley Ave & Roscoe St,41.943403,-87.679618
451,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391
452,Wood St & Hubbard St,41.889899,-87.67147299999999
453,Kedzie Ave & 48th Pl,41.8047515,-87.7041145
454,Paulina St & Flournoy St,41.87295,-87.66913000000001
455,Fort Dearborn Dr & 31st St,41.838556,-87.60821800000001
456,Ellis Ave & 60th St,41.785097146,-87.601072761
457,Milwaukee Ave & Cuyler Ave,41.954468,-87.74959399999999
458,Dorchester Ave & 63rd St,41.780405646,-87.591415989
459,Wells St & Walton St,41.89993001,-87.63443007
460,Marshfield Ave & 59th St,41.786833,-87.66621500000001
461,Ashland Ave & Pershing Rd,41.823465,-87.665577
462,Damen Ave & Charleston St,41.920082,-87.67785500000001
463,Stony Island Ave & 64th St,41.778881,-87.586647
464,Oakley Ave & Touhy Ave,42.012342,-87.688243
465,Wood St & Augusta Blvd,41.899181,-87.6722
466,Ashland Ave & Augusta Blvd,41.899643,-87.6677
467,Rockwell St & 57th St,41.7903484,-87.68892009999999
468,Ashland Ave & 50th St,41.803022999999996,-87.664699
469,University Library (NU),42.052939,-87.673447
470,Southport Ave & Wellington Ave,41.935733,-87.663576
471,Woodlawn Ave & 75th St,41.759159999999994,-87.595751
472,California Ave & Cortez St,41.900363,-87.696704
473,Harper Ave & 59th St,41.787942813,-87.58831517
474,Wilton Ave & Diversey Pkwy,41.932418,-87.65270500000001
475,Dusable Harbor,41.886976000000004,-87.612813
476,Calumet Ave & 35th St,41.831379,-87.618034
477,Kostner Ave & Adams St,41.877917,-87.735737
478,Sheffield Ave & Waveland Ave,41.949399,-87.65452900000001
479,Troy Ave & 27th St,41.840909,-87.70519300000001
480,Wentworth Ave & 24th St (Temp),41.850083693,-87.63214051700001
481,Ogden Ave & Congress Pkwy,41.875009999999996,-87.67328
482,Laflin St & Cullerton St,41.854914576,-87.66355991399999
483,Michigan Ave & Washington St,41.883984065,-87.624683976
